Source,Target,Type
iDXlWTRyxgE,6p-QzY5bxJ0,Undirected
iDXlWTRyxgE,sottGW1p5os,Undirected
iDXlWTRyxgE,SCnVbXlC1Ds,Undirected
iDXlWTRyxgE,VsYmwBOYfW8,Undirected
iDXlWTRyxgE,3s1rvMFUweQ,Undirected
iDXlWTRyxgE,j7WlcSwe8Ws,Undirected
iDXlWTRyxgE,oSS6kGWNEeA,Undirected
iDXlWTRyxgE,jp9hK-jY6yY,Undirected
iDXlWTRyxgE,dIPu12KHIDo,Undirected
iDXlWTRyxgE,nlodY8nMw-A,Undirected
iDXlWTRyxgE,JAcKgCfTSq4,Undirected
iDXlWTRyxgE,DJXUWLs6FI0,Undirected
iDXlWTRyxgE,8z_cg5CypRc,Undirected
iDXlWTRyxgE,0W86V2KcqiU,Undirected
iDXlWTRyxgE,8kFnLQySIzU,Undirected
iDXlWTRyxgE,jLM2ibaRbrk,Undirected
iDXlWTRyxgE,k_aT3jAK_QU,Undirected
6p-QzY5bxJ0,sottGW1p5os,Undirected
6p-QzY5bxJ0,SCnVbXlC1Ds,Undirected
6p-QzY5bxJ0,VsYmwBOYfW8,Undirected
6p-QzY5bxJ0,3s1rvMFUweQ,Undirected
6p-QzY5bxJ0,j7WlcSwe8Ws,Undirected
6p-QzY5bxJ0,oSS6kGWNEeA,Undirected
6p-QzY5bxJ0,jp9hK-jY6yY,Undirected
6p-QzY5bxJ0,dIPu12KHIDo,Undirected
6p-QzY5bxJ0,nlodY8nMw-A,Undirected
6p-QzY5bxJ0,JAcKgCfTSq4,Undirected
6p-QzY5bxJ0,DJXUWLs6FI0,Undirected
6p-QzY5bxJ0,8z_cg5CypRc,Undirected
6p-QzY5bxJ0,0W86V2KcqiU,Undirected
6p-QzY5bxJ0,8kFnLQySIzU,Undirected
6p-QzY5bxJ0,jLM2ibaRbrk,Undirected
6p-QzY5bxJ0,k_aT3jAK_QU,Undirected
sottGW1p5os,SCnVbXlC1Ds,Undirected
sottGW1p5os,VsYmwBOYfW8,Undirected
sottGW1p5os,3s1rvMFUweQ,Undirected
sottGW1p5os,j7WlcSwe8Ws,Undirected
sottGW1p5os,oSS6kGWNEeA,Undirected
sottGW1p5os,jp9hK-jY6yY,Undirected
sottGW1p5os,dIPu12KHIDo,Undirected
sottGW1p5os,nlodY8nMw-A,Undirected
sottGW1p5os,JAcKgCfTSq4,Undirected
sottGW1p5os,DJXUWLs6FI0,Undirected
sottGW1p5os,8z_cg5CypRc,Undirected
sottGW1p5os,0W86V2KcqiU,Undirected
sottGW1p5os,8kFnLQySIzU,Undirected
sottGW1p5os,jLM2ibaRbrk,Undirected
sottGW1p5os,k_aT3jAK_QU,Undirected
SCnVbXlC1Ds,VsYmwBOYfW8,Undirected
SCnVbXlC1Ds,3s1rvMFUweQ,Undirected
SCnVbXlC1Ds,j7WlcSwe8Ws,Undirected
SCnVbXlC1Ds,oSS6kGWNEeA,Undirected
SCnVbXlC1Ds,jp9hK-jY6yY,Undirected
SCnVbXlC1Ds,dIPu12KHIDo,Undirected
SCnVbXlC1Ds,nlodY8nMw-A,Undirected
SCnVbXlC1Ds,JAcKgCfTSq4,Undirected
SCnVbXlC1Ds,DJXUWLs6FI0,Undirected
SCnVbXlC1Ds,8z_cg5CypRc,Undirected
SCnVbXlC1Ds,0W86V2KcqiU,Undirected
SCnVbXlC1Ds,8kFnLQySIzU,Undirected
SCnVbXlC1Ds,jLM2ibaRbrk,Undirected
SCnVbXlC1Ds,k_aT3jAK_QU,Undirected
VsYmwBOYfW8,3s1rvMFUweQ,Undirected
VsYmwBOYfW8,j7WlcSwe8Ws,Undirected
VsYmwBOYfW8,oSS6kGWNEeA,Undirected
VsYmwBOYfW8,jp9hK-jY6yY,Undirected
VsYmwBOYfW8,dIPu12KHIDo,Undirected
VsYmwBOYfW8,nlodY8nMw-A,Undirected
VsYmwBOYfW8,JAcKgCfTSq4,Undirected
VsYmwBOYfW8,DJXUWLs6FI0,Undirected
VsYmwBOYfW8,8z_cg5CypRc,Undirected
VsYmwBOYfW8,0W86V2KcqiU,Undirected
VsYmwBOYfW8,8kFnLQySIzU,Undirected
VsYmwBOYfW8,jLM2ibaRbrk,Undirected
VsYmwBOYfW8,k_aT3jAK_QU,Undirected
3s1rvMFUweQ,j7WlcSwe8Ws,Undirected
3s1rvMFUweQ,oSS6kGWNEeA,Undirected
3s1rvMFUweQ,jp9hK-jY6yY,Undirected
3s1rvMFUweQ,dIPu12KHIDo,Undirected
3s1rvMFUweQ,nlodY8nMw-A,Undirected
3s1rvMFUweQ,JAcKgCfTSq4,Undirected
3s1rvMFUweQ,DJXUWLs6FI0,Undirected
3s1rvMFUweQ,8z_cg5CypRc,Undirected
3s1rvMFUweQ,0W86V2KcqiU,Undirected
3s1rvMFUweQ,8kFnLQySIzU,Undirected
3s1rvMFUweQ,jLM2ibaRbrk,Undirected
3s1rvMFUweQ,k_aT3jAK_QU,Undirected
j7WlcSwe8Ws,oSS6kGWNEeA,Undirected
j7WlcSwe8Ws,jp9hK-jY6yY,Undirected
j7WlcSwe8Ws,dIPu12KHIDo,Undirected
j7WlcSwe8Ws,nlodY8nMw-A,Undirected
j7WlcSwe8Ws,JAcKgCfTSq4,Undirected
j7WlcSwe8Ws,DJXUWLs6FI0,Undirected
j7WlcSwe8Ws,8z_cg5CypRc,Undirected
j7WlcSwe8Ws,0W86V2KcqiU,Undirected
j7WlcSwe8Ws,8kFnLQySIzU,Undirected
j7WlcSwe8Ws,jLM2ibaRbrk,Undirected
j7WlcSwe8Ws,k_aT3jAK_QU,Undirected
oSS6kGWNEeA,jp9hK-jY6yY,Undirected
oSS6kGWNEeA,dIPu12KHIDo,Undirected
oSS6kGWNEeA,nlodY8nMw-A,Undirected
oSS6kGWNEeA,JAcKgCfTSq4,Undirected
oSS6kGWNEeA,DJXUWLs6FI0,Undirected
oSS6kGWNEeA,8z_cg5CypRc,Undirected
oSS6kGWNEeA,0W86V2KcqiU,Undirected
oSS6kGWNEeA,8kFnLQySIzU,Undirected
oSS6kGWNEeA,jLM2ibaRbrk,Undirected
oSS6kGWNEeA,k_aT3jAK_QU,Undirected
jp9hK-jY6yY,dIPu12KHIDo,Undirected
jp9hK-jY6yY,nlodY8nMw-A,Undirected
jp9hK-jY6yY,JAcKgCfTSq4,Undirected
jp9hK-jY6yY,DJXUWLs6FI0,Undirected
jp9hK-jY6yY,8z_cg5CypRc,Undirected
jp9hK-jY6yY,0W86V2KcqiU,Undirected
jp9hK-jY6yY,8kFnLQySIzU,Undirected
jp9hK-jY6yY,jLM2ibaRbrk,Undirected
jp9hK-jY6yY,k_aT3jAK_QU,Undirected
dIPu12KHIDo,nlodY8nMw-A,Undirected
dIPu12KHIDo,JAcKgCfTSq4,Undirected
dIPu12KHIDo,DJXUWLs6FI0,Undirected
dIPu12KHIDo,8z_cg5CypRc,Undirected
dIPu12KHIDo,0W86V2KcqiU,Undirected
dIPu12KHIDo,8kFnLQySIzU,Undirected
dIPu12KHIDo,jLM2ibaRbrk,Undirected
dIPu12KHIDo,k_aT3jAK_QU,Undirected
nlodY8nMw-A,JAcKgCfTSq4,Undirected
nlodY8nMw-A,DJXUWLs6FI0,Undirected
nlodY8nMw-A,8z_cg5CypRc,Undirected
nlodY8nMw-A,0W86V2KcqiU,Undirected
nlodY8nMw-A,8kFnLQySIzU,Undirected
nlodY8nMw-A,jLM2ibaRbrk,Undirected
nlodY8nMw-A,k_aT3jAK_QU,Undirected
JAcKgCfTSq4,DJXUWLs6FI0,Undirected
JAcKgCfTSq4,8z_cg5CypRc,Undirected
JAcKgCfTSq4,0W86V2KcqiU,Undirected
JAcKgCfTSq4,8kFnLQySIzU,Undirected
JAcKgCfTSq4,jLM2ibaRbrk,Undirected
JAcKgCfTSq4,k_aT3jAK_QU,Undirected
DJXUWLs6FI0,8z_cg5CypRc,Undirected
DJXUWLs6FI0,0W86V2KcqiU,Undirected
DJXUWLs6FI0,8kFnLQySIzU,Undirected
DJXUWLs6FI0,jLM2ibaRbrk,Undirected
DJXUWLs6FI0,k_aT3jAK_QU,Undirected
8z_cg5CypRc,0W86V2KcqiU,Undirected
8z_cg5CypRc,8kFnLQySIzU,Undirected
8z_cg5CypRc,jLM2ibaRbrk,Undirected
8z_cg5CypRc,k_aT3jAK_QU,Undirected
0W86V2KcqiU,8kFnLQySIzU,Undirected
0W86V2KcqiU,jLM2ibaRbrk,Undirected
0W86V2KcqiU,k_aT3jAK_QU,Undirected
8kFnLQySIzU,jLM2ibaRbrk,Undirected
8kFnLQySIzU,k_aT3jAK_QU,Undirected
jLM2ibaRbrk,k_aT3jAK_QU,Undirected
