Source,Target,Type
GoNT7uT8oTA,BqxqG8IM-TQ,Undirected
GoNT7uT8oTA,tQR5G3kvfNQ,Undirected
GoNT7uT8oTA,qzt7JvsYIuI,Undirected
GoNT7uT8oTA,H4NjcO2GAMU,Undirected
GoNT7uT8oTA,kWolKH3zwkY,Undirected
GoNT7uT8oTA,hNpgwz8wvE8,Undirected
GoNT7uT8oTA,xzWDIgvsFTY,Undirected
GoNT7uT8oTA,H78P-eAvWqg,Undirected
GoNT7uT8oTA,xNNxGzBfZ2k,Undirected
GoNT7uT8oTA,lq0WUudJiSM,Undirected
GoNT7uT8oTA,LVPzYHk5VW8,Undirected
GoNT7uT8oTA,OtkMzh9lilI,Undirected
GoNT7uT8oTA,A9R5tJPbcKI,Undirected
GoNT7uT8oTA,wwVOmTImfLA,Undirected
GoNT7uT8oTA,Iwz4P8HfGVM,Undirected
GoNT7uT8oTA,KxywNVLAf5o,Undirected
GoNT7uT8oTA,9XaUPRA6ZAI,Undirected
GoNT7uT8oTA,lHNmUUi6LzM,Undirected
GoNT7uT8oTA,v1pN6cj8TuE,Undirected
GoNT7uT8oTA,o-nGPNn19vE,Undirected
GoNT7uT8oTA,D04ogdPt4EY,Undirected
GoNT7uT8oTA,kXIF2FQpgjM,Undirected
GoNT7uT8oTA,aCAhbjLKkt4,Undirected
GoNT7uT8oTA,yRTRm9RrVaM,Undirected
GoNT7uT8oTA,fQjGRb4-IQM,Undirected
GoNT7uT8oTA,5TTdcyRi-nw,Undirected
GoNT7uT8oTA,udm5jUA-2bs,Undirected
GoNT7uT8oTA,zT7VEhfezn8,Undirected
GoNT7uT8oTA,BYG1qf3XJNM,Undirected
GoNT7uT8oTA,UkXBG_DL1ec,Undirected
GoNT7uT8oTA,Aeful-nI3ao,Undirected
GoNT7uT8oTA,jYuQzAxBVZU,Undirected
GoNT7uT8oTA,k2p9gsjcfQY,Undirected
GoNT7uT8oTA,J75enyWdbBM,Undirected
GoNT7uT8oTA,6uGQ_ypTw08,Undirected
GoNT7uT8oTA,v6yg4ImnYwA,Undirected
GoNT7uT8oTA,EhSXsTSNDyo,Undirected
GoNT7uT8oTA,x4CF5pruJz4,Undirected
GoNT7uT8oTA,jY3lRSmdLQg,Undirected
GoNT7uT8oTA,2aQykuIaJVI,Undirected
GoNT7uT8oTA,4hrrK3rXrR0,Undirected
1XKSo2mFC6c,BqxqG8IM-TQ,Undirected
1XKSo2mFC6c,Y3UA5Qf1pt8,Undirected
1XKSo2mFC6c,J-7FkW1Cuic,Undirected
1XKSo2mFC6c,D04ogdPt4EY,Undirected
1XKSo2mFC6c,Ks6I2rtI4ms,Undirected
1XKSo2mFC6c,R1TSiB9OuVM,Undirected
1XKSo2mFC6c,wa5eXqjEewE,Undirected
1XKSo2mFC6c,HwkLbeEYz6E,Undirected
1XKSo2mFC6c,T8lWjQRhQXY,Undirected
bcSFnVQg47o,eNbKd0cABD0,Undirected
bcSFnVQg47o,xzWDIgvsFTY,Undirected
bcSFnVQg47o,H78P-eAvWqg,Undirected
bcSFnVQg47o,a1WEz02s0m0,Undirected
bcSFnVQg47o,7GD1oeLeGUU,Undirected
bcSFnVQg47o,KnQrvQep5Eg,Undirected
bcSFnVQg47o,r03V9OEJlgg,Undirected
bcSFnVQg47o,M4ZoCHID9GI,Undirected
bcSFnVQg47o,R1TSiB9OuVM,Undirected
bcSFnVQg47o,za0qXbofvc0,Undirected
bcSFnVQg47o,jMf16G4kZUo,Undirected
vk9dMICMQwg,qzt7JvsYIuI,Undirected
vk9dMICMQwg,kXIF2FQpgjM,Undirected
BqxqG8IM-TQ,tQR5G3kvfNQ,Undirected
BqxqG8IM-TQ,18RqtFuaNe8,Undirected
BqxqG8IM-TQ,qzt7JvsYIuI,Undirected
BqxqG8IM-TQ,CziHrYYSyPc,Undirected
BqxqG8IM-TQ,H4NjcO2GAMU,Undirected
BqxqG8IM-TQ,guf1L6HmeOc,Undirected
BqxqG8IM-TQ,kWolKH3zwkY,Undirected
BqxqG8IM-TQ,hNpgwz8wvE8,Undirected
BqxqG8IM-TQ,xNNxGzBfZ2k,Undirected
BqxqG8IM-TQ,lq0WUudJiSM,Undirected
BqxqG8IM-TQ,Y3UA5Qf1pt8,Undirected
BqxqG8IM-TQ,OtkMzh9lilI,Undirected
BqxqG8IM-TQ,A9R5tJPbcKI,Undirected
BqxqG8IM-TQ,wwVOmTImfLA,Undirected
BqxqG8IM-TQ,Iwz4P8HfGVM,Undirected
BqxqG8IM-TQ,KxywNVLAf5o,Undirected
BqxqG8IM-TQ,Wlnt6VrVUgc,Undirected
BqxqG8IM-TQ,9XaUPRA6ZAI,Undirected
BqxqG8IM-TQ,lHNmUUi6LzM,Undirected
BqxqG8IM-TQ,UHh6kJ-HWYw,Undirected
BqxqG8IM-TQ,v1pN6cj8TuE,Undirected
BqxqG8IM-TQ,o-nGPNn19vE,Undirected
BqxqG8IM-TQ,z5WrgDzNIZ0,Undirected
BqxqG8IM-TQ,D04ogdPt4EY,Undirected
BqxqG8IM-TQ,Ks6I2rtI4ms,Undirected
BqxqG8IM-TQ,kXIF2FQpgjM,Undirected
BqxqG8IM-TQ,NGMnnrw70lA,Undirected
BqxqG8IM-TQ,R1TSiB9OuVM,Undirected
BqxqG8IM-TQ,O5ROSS9ReUY,Undirected
BqxqG8IM-TQ,p6E9R9qv1No,Undirected
BqxqG8IM-TQ,5TTdcyRi-nw,Undirected
BqxqG8IM-TQ,udm5jUA-2bs,Undirected
BqxqG8IM-TQ,zT7VEhfezn8,Undirected
BqxqG8IM-TQ,BYG1qf3XJNM,Undirected
BqxqG8IM-TQ,UkXBG_DL1ec,Undirected
BqxqG8IM-TQ,jYuQzAxBVZU,Undirected
BqxqG8IM-TQ,fABSffnIhrk,Undirected
BqxqG8IM-TQ,U4fErC9skHE,Undirected
BqxqG8IM-TQ,tYDmvYhQ6wI,Undirected
BqxqG8IM-TQ,-l6wrTvMcbY,Undirected
BqxqG8IM-TQ,PkRo5l8679g,Undirected
BqxqG8IM-TQ,z4dH6hEMuwk,Undirected
BqxqG8IM-TQ,i3cN9elJWvk,Undirected
BqxqG8IM-TQ,RF-Mqs2qC-M,Undirected
BqxqG8IM-TQ,dc89yyOS0Z8,Undirected
BqxqG8IM-TQ,Ml9v3wHLuWI,Undirected
BqxqG8IM-TQ,T8lWjQRhQXY,Undirected
BqxqG8IM-TQ,4ughEPQGd8w,Undirected
BqxqG8IM-TQ,6_DgXvcfhYg,Undirected
BqxqG8IM-TQ,EhSXsTSNDyo,Undirected
BqxqG8IM-TQ,f55HngFE9YM,Undirected
BqxqG8IM-TQ,P3BMmJtbZUs,Undirected
BqxqG8IM-TQ,TSA9VZduuZ4,Undirected
BqxqG8IM-TQ,R9q5lBy2w1E,Undirected
BqxqG8IM-TQ,yvYeAdcM2Ss,Undirected
BqxqG8IM-TQ,jY3lRSmdLQg,Undirected
BqxqG8IM-TQ,2aQykuIaJVI,Undirected
BqxqG8IM-TQ,4hrrK3rXrR0,Undirected
eNbKd0cABD0,qzt7JvsYIuI,Undirected
eNbKd0cABD0,xzWDIgvsFTY,Undirected
eNbKd0cABD0,H78P-eAvWqg,Undirected
eNbKd0cABD0,a1WEz02s0m0,Undirected
eNbKd0cABD0,Yg83DR3qIPM,Undirected
eNbKd0cABD0,za0qXbofvc0,Undirected
eNbKd0cABD0,wa5eXqjEewE,Undirected
rG7fLWcvv-4,sjVqDg32_8s,Undirected
rG7fLWcvv-4,mTf3Dcj5NPU,Undirected
rG7fLWcvv-4,1hTLGlgZ4Z8,Undirected
rG7fLWcvv-4,_7z85ipjSwA,Undirected
tQR5G3kvfNQ,qzt7JvsYIuI,Undirected
tQR5G3kvfNQ,H4NjcO2GAMU,Undirected
tQR5G3kvfNQ,kWolKH3zwkY,Undirected
tQR5G3kvfNQ,hNpgwz8wvE8,Undirected
tQR5G3kvfNQ,TvLGiAbgRc4,Undirected
tQR5G3kvfNQ,H78P-eAvWqg,Undirected
tQR5G3kvfNQ,lq0WUudJiSM,Undirected
tQR5G3kvfNQ,a1WEz02s0m0,Undirected
tQR5G3kvfNQ,LVPzYHk5VW8,Undirected
tQR5G3kvfNQ,OtkMzh9lilI,Undirected
tQR5G3kvfNQ,A9R5tJPbcKI,Undirected
tQR5G3kvfNQ,wwVOmTImfLA,Undirected
tQR5G3kvfNQ,bI31WqFDxNs,Undirected
tQR5G3kvfNQ,KxywNVLAf5o,Undirected
tQR5G3kvfNQ,20bpjtCbCz0,Undirected
tQR5G3kvfNQ,9PluGinulQM,Undirected
tQR5G3kvfNQ,9XaUPRA6ZAI,Undirected
tQR5G3kvfNQ,lHNmUUi6LzM,Undirected
tQR5G3kvfNQ,UHh6kJ-HWYw,Undirected
tQR5G3kvfNQ,v1pN6cj8TuE,Undirected
tQR5G3kvfNQ,o-nGPNn19vE,Undirected
tQR5G3kvfNQ,J-7FkW1Cuic,Undirected
tQR5G3kvfNQ,D04ogdPt4EY,Undirected
tQR5G3kvfNQ,kXIF2FQpgjM,Undirected
tQR5G3kvfNQ,NGMnnrw70lA,Undirected
tQR5G3kvfNQ,aCAhbjLKkt4,Undirected
tQR5G3kvfNQ,yRTRm9RrVaM,Undirected
tQR5G3kvfNQ,fQjGRb4-IQM,Undirected
tQR5G3kvfNQ,BYG1qf3XJNM,Undirected
tQR5G3kvfNQ,UkXBG_DL1ec,Undirected
tQR5G3kvfNQ,Aeful-nI3ao,Undirected
tQR5G3kvfNQ,jYuQzAxBVZU,Undirected
tQR5G3kvfNQ,fABSffnIhrk,Undirected
tQR5G3kvfNQ,k2p9gsjcfQY,Undirected
tQR5G3kvfNQ,6uGQ_ypTw08,Undirected
tQR5G3kvfNQ,v6yg4ImnYwA,Undirected
tQR5G3kvfNQ,RF-Mqs2qC-M,Undirected
tQR5G3kvfNQ,dc89yyOS0Z8,Undirected
tQR5G3kvfNQ,Ml9v3wHLuWI,Undirected
tQR5G3kvfNQ,4ughEPQGd8w,Undirected
tQR5G3kvfNQ,x4CF5pruJz4,Undirected
tQR5G3kvfNQ,4hrrK3rXrR0,Undirected
18RqtFuaNe8,CziHrYYSyPc,Undirected
18RqtFuaNe8,guf1L6HmeOc,Undirected
18RqtFuaNe8,jPEYpryMp2s,Undirected
18RqtFuaNe8,5sEaYB4rLFQ,Undirected
18RqtFuaNe8,wwVOmTImfLA,Undirected
18RqtFuaNe8,bI31WqFDxNs,Undirected
18RqtFuaNe8,sjVqDg32_8s,Undirected
18RqtFuaNe8,mTf3Dcj5NPU,Undirected
18RqtFuaNe8,KxywNVLAf5o,Undirected
18RqtFuaNe8,Wlnt6VrVUgc,Undirected
18RqtFuaNe8,20bpjtCbCz0,Undirected
18RqtFuaNe8,HyNJ3UrGk_I,Undirected
18RqtFuaNe8,rp2I4P6bEYA,Undirected
18RqtFuaNe8,D04ogdPt4EY,Undirected
18RqtFuaNe8,D2mjQP8cmYA,Undirected
18RqtFuaNe8,i5qOzqD9Rms,Undirected
18RqtFuaNe8,O5ROSS9ReUY,Undirected
18RqtFuaNe8,p6E9R9qv1No,Undirected
18RqtFuaNe8,5TTdcyRi-nw,Undirected
18RqtFuaNe8,udm5jUA-2bs,Undirected
18RqtFuaNe8,k2p9gsjcfQY,Undirected
18RqtFuaNe8,PkRo5l8679g,Undirected
18RqtFuaNe8,1hTLGlgZ4Z8,Undirected
18RqtFuaNe8,yvYeAdcM2Ss,Undirected
18RqtFuaNe8,FhwktRDG_aQ,Undirected
qzt7JvsYIuI,H4NjcO2GAMU,Undirected
qzt7JvsYIuI,kWolKH3zwkY,Undirected
qzt7JvsYIuI,hNpgwz8wvE8,Undirected
qzt7JvsYIuI,TvLGiAbgRc4,Undirected
qzt7JvsYIuI,lq0WUudJiSM,Undirected
qzt7JvsYIuI,a1WEz02s0m0,Undirected
qzt7JvsYIuI,LVPzYHk5VW8,Undirected
qzt7JvsYIuI,OtkMzh9lilI,Undirected
qzt7JvsYIuI,A9R5tJPbcKI,Undirected
qzt7JvsYIuI,wwVOmTImfLA,Undirected
qzt7JvsYIuI,bI31WqFDxNs,Undirected
qzt7JvsYIuI,KxywNVLAf5o,Undirected
qzt7JvsYIuI,20bpjtCbCz0,Undirected
qzt7JvsYIuI,Yg83DR3qIPM,Undirected
qzt7JvsYIuI,9PluGinulQM,Undirected
qzt7JvsYIuI,9XaUPRA6ZAI,Undirected
qzt7JvsYIuI,lHNmUUi6LzM,Undirected
qzt7JvsYIuI,UHh6kJ-HWYw,Undirected
qzt7JvsYIuI,v1pN6cj8TuE,Undirected
qzt7JvsYIuI,o-nGPNn19vE,Undirected
qzt7JvsYIuI,J-7FkW1Cuic,Undirected
qzt7JvsYIuI,D04ogdPt4EY,Undirected
qzt7JvsYIuI,kXIF2FQpgjM,Undirected
qzt7JvsYIuI,NGMnnrw70lA,Undirected
qzt7JvsYIuI,fQjGRb4-IQM,Undirected
qzt7JvsYIuI,BYG1qf3XJNM,Undirected
qzt7JvsYIuI,UkXBG_DL1ec,Undirected
qzt7JvsYIuI,fABSffnIhrk,Undirected
qzt7JvsYIuI,k2p9gsjcfQY,Undirected
qzt7JvsYIuI,v6yg4ImnYwA,Undirected
qzt7JvsYIuI,RF-Mqs2qC-M,Undirected
qzt7JvsYIuI,dc89yyOS0Z8,Undirected
qzt7JvsYIuI,Ml9v3wHLuWI,Undirected
qzt7JvsYIuI,4ughEPQGd8w,Undirected
qzt7JvsYIuI,x4CF5pruJz4,Undirected
qzt7JvsYIuI,EdRmaKHqYJY,Undirected
qzt7JvsYIuI,4hrrK3rXrR0,Undirected
tCXGJQYZ9JA,8diVDS4qW6I,Undirected
tCXGJQYZ9JA,Iwz4P8HfGVM,Undirected
tCXGJQYZ9JA,ffxKSjUwKdU,Undirected
tCXGJQYZ9JA,r03V9OEJlgg,Undirected
tCXGJQYZ9JA,BYwrSAZzXEc,Undirected
tCXGJQYZ9JA,J-dv_DcDD_A,Undirected
tCXGJQYZ9JA,R1TSiB9OuVM,Undirected
tCXGJQYZ9JA,p6E9R9qv1No,Undirected
tCXGJQYZ9JA,fAAAZqFmDfA,Undirected
tCXGJQYZ9JA,WtE011iVx1Q,Undirected
tCXGJQYZ9JA,4oYYVrEFWE8,Undirected
tCXGJQYZ9JA,ZcCp7488puc,Undirected
tCXGJQYZ9JA,T8lWjQRhQXY,Undirected
tCXGJQYZ9JA,h0xHxZpNAHw,Undirected
tCXGJQYZ9JA,4ughEPQGd8w,Undirected
tCXGJQYZ9JA,6_DgXvcfhYg,Undirected
tCXGJQYZ9JA,O02MnrL_wrc,Undirected
tCXGJQYZ9JA,qE-gdNIL8WI,Undirected
