Source,Target,Type
0AUFyFEt35g,y5MKhfqMHX8,Undirected
0AUFyFEt35g,Xg_4tbLnIOc,Undirected
0AUFyFEt35g,iqsQ0KHImrU,Undirected
0AUFyFEt35g,QH9UE7FDbcM,Undirected
wIimU5-UEPc,pVgx8pYpwRE,Undirected
wIimU5-UEPc,eqVHah0f-1c,Undirected
wIimU5-UEPc,jzD_yyEcp0M,Undirected
wIimU5-UEPc,m4-sL1r9i1I,Undirected
wIimU5-UEPc,M3mJkSqZbX4,Undirected
wIimU5-UEPc,pjTj-_55WZ8,Undirected
uwbd0-gaoY8,WTyNJOXycQk,Undirected
uwbd0-gaoY8,TX0UsGn0GPc,Undirected
uwbd0-gaoY8,ZnHW63aXXB8,Undirected
uwbd0-gaoY8,GWMKelv5Bmw,Undirected
uwbd0-gaoY8,4eOq4xzaPsA,Undirected
uwbd0-gaoY8,6uJemANlDqQ,Undirected
uwbd0-gaoY8,q8kIxK2kI7k,Undirected
uwbd0-gaoY8,ZKSeQmgg40Q,Undirected
uwbd0-gaoY8,yabSoxBzo4A,Undirected
uwbd0-gaoY8,7-T08gSQmxk,Undirected
uwbd0-gaoY8,wjOK-U2GhIs,Undirected
uwbd0-gaoY8,zMV51hydg8E,Undirected
Lok2EvthO-U,WTyNJOXycQk,Undirected
Lok2EvthO-U,MUcBkpwnKcE,Undirected
Lok2EvthO-U,aydY1eiGjgs,Undirected
Lok2EvthO-U,1R0Xgq1bxZI,Undirected
Lok2EvthO-U,JeRtUXTQ_aQ,Undirected
Lok2EvthO-U,YWE9YX-Km-M,Undirected
Lok2EvthO-U,m4-sL1r9i1I,Undirected
Lok2EvthO-U,Mjl4OReUX-c,Undirected
Lok2EvthO-U,YuAA5DEXbG4,Undirected
Lok2EvthO-U,rplCCSqWXIY,Undirected
Lok2EvthO-U,ev2RHDUkE4M,Undirected
H6tRAXugvHI,LF32cBrUAy8,Undirected
H6tRAXugvHI,p5HH2UfZ2wE,Undirected
H6tRAXugvHI,M-9A1Ysq9RE,Undirected
H6tRAXugvHI,FeRi86DcfyA,Undirected
H6tRAXugvHI,xIZPbhq37WQ,Undirected
SzAuB2FG79A,yzshoDMBkqE,Undirected
SzAuB2FG79A,p5HH2UfZ2wE,Undirected
SzAuB2FG79A,qQYou9xSKys,Undirected
SzAuB2FG79A,k1xvol1SCx8,Undirected
SzAuB2FG79A,ZxD3o-9H1lY,Undirected
SzAuB2FG79A,QZL2NrrhjHY,Undirected
SzAuB2FG79A,eqVHah0f-1c,Undirected
SzAuB2FG79A,IqNQrpSe7UE,Undirected
SzAuB2FG79A,IrmTRb2Ar1I,Undirected
SzAuB2FG79A,LHUKKrcXfJs,Undirected
v_Gdg-fEz6k,n1PrGpIekYY,Undirected
v_Gdg-fEz6k,aydY1eiGjgs,Undirected
v_Gdg-fEz6k,xVhnfTwh1OA,Undirected
v_Gdg-fEz6k,HBfEf9MsRr4,Undirected
v_Gdg-fEz6k,wrvN87l3s08,Undirected
v_Gdg-fEz6k,XZ-IYxacK3I,Undirected
v_Gdg-fEz6k,EcFJbKJxjDA,Undirected
v_Gdg-fEz6k,jzD_yyEcp0M,Undirected
v_Gdg-fEz6k,wfWIs2gFTAM,Undirected
v_Gdg-fEz6k,AOvCyD9bbDM,Undirected
v_Gdg-fEz6k,9S1Gc1nSXd4,Undirected
v_Gdg-fEz6k,h6Yx7IIl8iY,Undirected
v_Gdg-fEz6k,aMGQgC5yV-o,Undirected
v_Gdg-fEz6k,ElKPnh0Q8pU,Undirected
v_Gdg-fEz6k,qtTM2YV3bI8,Undirected
hSvnepZS26s,doFpACkiZ2Q,Undirected
