Source,Target,Type
iDXlWTRyxgE,6p-QzY5bxJ0,Undirected
iDXlWTRyxgE,sottGW1p5os,Undirected
iDXlWTRyxgE,SCnVbXlC1Ds,Undirected
iDXlWTRyxgE,VsYmwBOYfW8,Undirected
iDXlWTRyxgE,3s1rvMFUweQ,Undirected
iDXlWTRyxgE,j7WlcSwe8Ws,Undirected
iDXlWTRyxgE,oSS6kGWNEeA,Undirected
iDXlWTRyxgE,jp9hK-jY6yY,Undirected
iDXlWTRyxgE,DJXUWLs6FI0,Undirected
iDXlWTRyxgE,nlodY8nMw-A,Undirected
6p-QzY5bxJ0,sottGW1p5os,Undirected
6p-QzY5bxJ0,SCnVbXlC1Ds,Undirected
6p-QzY5bxJ0,VsYmwBOYfW8,Undirected
6p-QzY5bxJ0,3s1rvMFUweQ,Undirected
6p-QzY5bxJ0,j7WlcSwe8Ws,Undirected
6p-QzY5bxJ0,oSS6kGWNEeA,Undirected
6p-QzY5bxJ0,jp9hK-jY6yY,Undirected
6p-QzY5bxJ0,DJXUWLs6FI0,Undirected
6p-QzY5bxJ0,nlodY8nMw-A,Undirected
sottGW1p5os,SCnVbXlC1Ds,Undirected
sottGW1p5os,VsYmwBOYfW8,Undirected
sottGW1p5os,3s1rvMFUweQ,Undirected
sottGW1p5os,j7WlcSwe8Ws,Undirected
sottGW1p5os,oSS6kGWNEeA,Undirected
sottGW1p5os,jp9hK-jY6yY,Undirected
sottGW1p5os,DJXUWLs6FI0,Undirected
sottGW1p5os,nlodY8nMw-A,Undirected
SCnVbXlC1Ds,VsYmwBOYfW8,Undirected
SCnVbXlC1Ds,3s1rvMFUweQ,Undirected
SCnVbXlC1Ds,j7WlcSwe8Ws,Undirected
SCnVbXlC1Ds,oSS6kGWNEeA,Undirected
SCnVbXlC1Ds,jp9hK-jY6yY,Undirected
SCnVbXlC1Ds,DJXUWLs6FI0,Undirected
SCnVbXlC1Ds,nlodY8nMw-A,Undirected
VsYmwBOYfW8,3s1rvMFUweQ,Undirected
VsYmwBOYfW8,j7WlcSwe8Ws,Undirected
VsYmwBOYfW8,oSS6kGWNEeA,Undirected
VsYmwBOYfW8,jp9hK-jY6yY,Undirected
VsYmwBOYfW8,DJXUWLs6FI0,Undirected
VsYmwBOYfW8,nlodY8nMw-A,Undirected
3s1rvMFUweQ,j7WlcSwe8Ws,Undirected
3s1rvMFUweQ,oSS6kGWNEeA,Undirected
3s1rvMFUweQ,jp9hK-jY6yY,Undirected
3s1rvMFUweQ,DJXUWLs6FI0,Undirected
3s1rvMFUweQ,nlodY8nMw-A,Undirected
j7WlcSwe8Ws,oSS6kGWNEeA,Undirected
j7WlcSwe8Ws,jp9hK-jY6yY,Undirected
j7WlcSwe8Ws,DJXUWLs6FI0,Undirected
j7WlcSwe8Ws,nlodY8nMw-A,Undirected
oSS6kGWNEeA,jp9hK-jY6yY,Undirected
oSS6kGWNEeA,DJXUWLs6FI0,Undirected
oSS6kGWNEeA,nlodY8nMw-A,Undirected
jp9hK-jY6yY,DJXUWLs6FI0,Undirected
jp9hK-jY6yY,nlodY8nMw-A,Undirected
DJXUWLs6FI0,nlodY8nMw-A,Undirected
