Source,Target,Type
goR0ki9OUts,mctn16hLzhg,Undirected
goR0ki9OUts,SCPkXjwSWCY,Undirected
goR0ki9OUts,Vctcsa8Slxo,Undirected
goR0ki9OUts,j6PsLLPdiKo,Undirected
goR0ki9OUts,XR2ezV6pusk,Undirected
goR0ki9OUts,Uv1xscwDtIQ,Undirected
goR0ki9OUts,n0j_CX1S2es,Undirected
goR0ki9OUts,BHloD113J54,Undirected
goR0ki9OUts,4HOxZEdicuk,Undirected
goR0ki9OUts,2z3EUY1aXdY,Undirected
goR0ki9OUts,5SkwvwSydmk,Undirected
goR0ki9OUts,X-5yy4ETxlQ,Undirected
goR0ki9OUts,XthLQZWIshQ,Undirected
goR0ki9OUts,pkJtiVCMXVg,Undirected
goR0ki9OUts,FA2k2U_pEcw,Undirected
goR0ki9OUts,ZKg3jKEbgqs,Undirected
goR0ki9OUts,XeLIvgsYdFI,Undirected
goR0ki9OUts,xZNBFcwd7zc,Undirected
goR0ki9OUts,cVx9EFK3DWE,Undirected
goR0ki9OUts,rqeQ2hRDDbc,Undirected
goR0ki9OUts,HMvx0NbQ-Y0,Undirected
goR0ki9OUts,z85JsxyICg8,Undirected
goR0ki9OUts,OG6qjAivguw,Undirected
goR0ki9OUts,m4-sL1r9i1I,Undirected
goR0ki9OUts,UM_3NQtO9BE,Undirected
goR0ki9OUts,SBH83sXfsP0,Undirected
goR0ki9OUts,A_xWDAbnBSU,Undirected
goR0ki9OUts,B7AjF4of300,Undirected
goR0ki9OUts,yVm38JyRCVQ,Undirected
goR0ki9OUts,LAQRtjvtQRo,Undirected
goR0ki9OUts,XAcjj16GMR4,Undirected
goR0ki9OUts,gOh2XtaPDWk,Undirected
goR0ki9OUts,YiEFcURJ67U,Undirected
goR0ki9OUts,qzt7JvsYIuI,Undirected
goR0ki9OUts,VwIXMm0a_t0,Undirected
goR0ki9OUts,7iQn-toQp6A,Undirected
goR0ki9OUts,hUDAcPr9dQs,Undirected
goR0ki9OUts,GKPIae1_LYw,Undirected
goR0ki9OUts,eFjFxgHedgM,Undirected
goR0ki9OUts,6Km34EXxGZ4,Undirected
goR0ki9OUts,6BhLaE0PHRA,Undirected
