Source,Target,Type,Weight
AumaWl0TNBo,F1b5ouja_VI,Undirected,1
AumaWl0TNBo,58sRIu0PUok,Undirected,1
AumaWl0TNBo,RJyb4Nzi-qo,Undirected,1
AumaWl0TNBo,dHDn26UX4aw,Undirected,1
AumaWl0TNBo,Ps-nEyvsCKY,Undirected,1
AumaWl0TNBo,1l26UFQ06eQ,Undirected,1
AumaWl0TNBo,k_aT3jAK_QU,Undirected,1
AumaWl0TNBo,TNRrY8m71u4,Undirected,2
AumaWl0TNBo,wf3t5p2XDAg,Undirected,1
AumaWl0TNBo,xegUPsJaUKc,Undirected,3
AumaWl0TNBo,exYLX9xGoyo,Undirected,1
AumaWl0TNBo,yqFIrrcmsJI,Undirected,1
AumaWl0TNBo,JqA6TZW9-0w,Undirected,8
AumaWl0TNBo,KMmXvAncPqk,Undirected,1
AumaWl0TNBo,Kap77SLzVyI,Undirected,1
AumaWl0TNBo,KXRYlfjlFLk,Undirected,1
AumaWl0TNBo,oxI2lyW31zM,Undirected,1
AumaWl0TNBo,03RQLmDNIEw,Undirected,2
AumaWl0TNBo,YL9sNrOlK-I,Undirected,1
AumaWl0TNBo,LeWtF5y9-6Q,Undirected,1
AumaWl0TNBo,nVrkQyLS4oE,Undirected,3
AumaWl0TNBo,3XklsSF53pc,Undirected,2
AumaWl0TNBo,vW7H-DKivX8,Undirected,1
AumaWl0TNBo,0hcp-eMOn4E,Undirected,1
AumaWl0TNBo,4OdLgsZOM14,Undirected,2
AumaWl0TNBo,CQZdAK_0PXU,Undirected,1
AumaWl0TNBo,0nybdPCuvRI,Undirected,2
AumaWl0TNBo,yqulWPljawo,Undirected,1
AumaWl0TNBo,0DpCDxoj_Xg,Undirected,1
AumaWl0TNBo,bye513KciIk,Undirected,1
AumaWl0TNBo,4WnizmrnJlk,Undirected,1
AumaWl0TNBo,clIvdBfCHOE,Undirected,2
AumaWl0TNBo,UKka73nn1dk,Undirected,1
AumaWl0TNBo,hVEgTsmBDw0,Undirected,2
AumaWl0TNBo,KdfCcEnJDlY,Undirected,1
AumaWl0TNBo,IQYLPEuAClo,Undirected,1
AumaWl0TNBo,BLOIU9DpLq4,Undirected,1
AumaWl0TNBo,PPCDMi5xmmk,Undirected,1
AumaWl0TNBo,q6xkWA0Qi98,Undirected,1
AumaWl0TNBo,3Xb3eOH4PMA,Undirected,1
AumaWl0TNBo,_qEfXjdZrWg,Undirected,1
AumaWl0TNBo,QJb9-ri3cLs,Undirected,2
AumaWl0TNBo,3XIV3mfc8S0,Undirected,1
AumaWl0TNBo,Yedbkvwm2rY,Undirected,1
AumaWl0TNBo,A8HLnDP6uRM,Undirected,1
AumaWl0TNBo,u5Jw7D-c3II,Undirected,1
AumaWl0TNBo,TOeWI-HClI8,Undirected,8
AumaWl0TNBo,sWVUjFXV9Yg,Undirected,1
AumaWl0TNBo,Ic8yK9YLyak,Undirected,22
AumaWl0TNBo,zxGg8QqWrRQ,Undirected,1
AumaWl0TNBo,h_67XloYXTc,Undirected,1
AumaWl0TNBo,VH0wjFRNKXw,Undirected,1
AumaWl0TNBo,6mDsa-AqNcQ,Undirected,1
AumaWl0TNBo,0lXX3dJUAGY,Undirected,1
AumaWl0TNBo,dsNNfiA6qjs,Undirected,5
AumaWl0TNBo,-XcvFTYVxnA,Undirected,1
AumaWl0TNBo,noUH5aYUBx4,Undirected,1
