Source,Target,Type
AumaWl0TNBo,wf3t5p2XDAg,Undirected
AumaWl0TNBo,xegUPsJaUKc,Undirected
AumaWl0TNBo,exYLX9xGoyo,Undirected
AumaWl0TNBo,yqFIrrcmsJI,Undirected
AumaWl0TNBo,JqA6TZW9-0w,Undirected
AumaWl0TNBo,KMmXvAncPqk,Undirected
AumaWl0TNBo,Kap77SLzVyI,Undirected
AumaWl0TNBo,KXRYlfjlFLk,Undirected
AumaWl0TNBo,oxI2lyW31zM,Undirected
AumaWl0TNBo,03RQLmDNIEw,Undirected
AumaWl0TNBo,YL9sNrOlK-I,Undirected
AumaWl0TNBo,LeWtF5y9-6Q,Undirected
AumaWl0TNBo,nVrkQyLS4oE,Undirected
AumaWl0TNBo,3XklsSF53pc,Undirected
AumaWl0TNBo,vW7H-DKivX8,Undirected
AumaWl0TNBo,0hcp-eMOn4E,Undirected
AumaWl0TNBo,4OdLgsZOM14,Undirected
AumaWl0TNBo,CQZdAK_0PXU,Undirected
AumaWl0TNBo,0nybdPCuvRI,Undirected
AumaWl0TNBo,yqulWPljawo,Undirected
AumaWl0TNBo,0DpCDxoj_Xg,Undirected
AumaWl0TNBo,bye513KciIk,Undirected
AumaWl0TNBo,4WnizmrnJlk,Undirected
AumaWl0TNBo,clIvdBfCHOE,Undirected
AumaWl0TNBo,UKka73nn1dk,Undirected
AumaWl0TNBo,hVEgTsmBDw0,Undirected
AumaWl0TNBo,KdfCcEnJDlY,Undirected
AumaWl0TNBo,IQYLPEuAClo,Undirected
AumaWl0TNBo,BLOIU9DpLq4,Undirected
AumaWl0TNBo,PPCDMi5xmmk,Undirected
AumaWl0TNBo,q6xkWA0Qi98,Undirected
AumaWl0TNBo,3Xb3eOH4PMA,Undirected
AumaWl0TNBo,_qEfXjdZrWg,Undirected
AumaWl0TNBo,QJb9-ri3cLs,Undirected
AumaWl0TNBo,3XIV3mfc8S0,Undirected
AumaWl0TNBo,Yedbkvwm2rY,Undirected
AumaWl0TNBo,A8HLnDP6uRM,Undirected
AumaWl0TNBo,u5Jw7D-c3II,Undirected
AumaWl0TNBo,TOeWI-HClI8,Undirected
AumaWl0TNBo,sWVUjFXV9Yg,Undirected
AumaWl0TNBo,Ic8yK9YLyak,Undirected
AumaWl0TNBo,zxGg8QqWrRQ,Undirected
AumaWl0TNBo,h_67XloYXTc,Undirected
AumaWl0TNBo,VH0wjFRNKXw,Undirected
AumaWl0TNBo,6mDsa-AqNcQ,Undirected
AumaWl0TNBo,0lXX3dJUAGY,Undirected
AumaWl0TNBo,dsNNfiA6qjs,Undirected
AumaWl0TNBo,-XcvFTYVxnA,Undirected
AumaWl0TNBo,noUH5aYUBx4,Undirected
AumaWl0TNBo,jjbcWoPXyas,Undirected
AumaWl0TNBo,15aTCG3as6Q,Undirected
AumaWl0TNBo,aJ9XruZm_Hg,Undirected
AumaWl0TNBo,hNsd-m30m2E,Undirected
AumaWl0TNBo,3yt4JsB9psg,Undirected
AumaWl0TNBo,60Qi7Zv6Wbg,Undirected
AumaWl0TNBo,7HJw7_fmwjY,Undirected
AumaWl0TNBo,dyBFAX4SDEc,Undirected
AumaWl0TNBo,ceJcHUoO734,Undirected
AumaWl0TNBo,r8FQ5wUYm9c,Undirected
AumaWl0TNBo,m1sdAmSq4vs,Undirected
AumaWl0TNBo,2TQAP-uAN9I,Undirected
AumaWl0TNBo,oqvGFqR2h4w,Undirected
AumaWl0TNBo,6HZ-nfMfu8o,Undirected
AumaWl0TNBo,ZAO9WjsFcaI,Undirected
AumaWl0TNBo,rTKaXaPIfG8,Undirected
AumaWl0TNBo,Wl9NFbqbwEw,Undirected
AumaWl0TNBo,Eeb2CgoSt9M,Undirected
AumaWl0TNBo,YBT_rfVxY5A,Undirected
AumaWl0TNBo,Cd8UxUlqaZ8,Undirected
AumaWl0TNBo,Swtha2lg-xI,Undirected
AumaWl0TNBo,C4ZN-2MrgBA,Undirected
AumaWl0TNBo,E7Er4t8PIYw,Undirected
AumaWl0TNBo,khPLWaBioOs,Undirected
AumaWl0TNBo,FofCwLXknq8,Undirected
AumaWl0TNBo,i0biqMZrxJ0,Undirected
AumaWl0TNBo,NUjLi_tm-aM,Undirected
AumaWl0TNBo,aP0izmLk-Q8,Undirected
AumaWl0TNBo,_YCGFLhrMkk,Undirected
AumaWl0TNBo,maAa7J3iEM8,Undirected
AumaWl0TNBo,g2GbkH12xMg,Undirected
AumaWl0TNBo,WY_l86QcMmA,Undirected
AumaWl0TNBo,0VsgQmCPgoI,Undirected
AumaWl0TNBo,TZSVf-yD7N8,Undirected
AumaWl0TNBo,dGaX8AuGiuk,Undirected
AumaWl0TNBo,INHVfx05Sy8,Undirected
AumaWl0TNBo,r9C7Grxk4bU,Undirected
AumaWl0TNBo,TPQqpxfm6BI,Undirected
AumaWl0TNBo,JBw1nwYJESc,Undirected
AumaWl0TNBo,bJ-wMCV05EI,Undirected
AumaWl0TNBo,d1hs-JI_yBE,Undirected
AumaWl0TNBo,p9RLCdyn_40,Undirected
AumaWl0TNBo,ifkRhaEDzzo,Undirected
AumaWl0TNBo,mdY3XDGtVnk,Undirected
AumaWl0TNBo,Kx90AspFmEA,Undirected
AumaWl0TNBo,jyTqvjvj8sM,Undirected
AumaWl0TNBo,ibI5-k5sin8,Undirected
AumaWl0TNBo,3mUtNE82ZV4,Undirected
AumaWl0TNBo,GRkHQ3RCW34,Undirected
AumaWl0TNBo,XJiCE88hOmM,Undirected
AumaWl0TNBo,NJAtY43vsl8,Undirected
AumaWl0TNBo,7Khl8D9RVvw,Undirected
AumaWl0TNBo,vbiiik_T3Bo,Undirected
AumaWl0TNBo,nranUeNkXpM,Undirected
AumaWl0TNBo,aeMv9uKpAZg,Undirected
AumaWl0TNBo,HHauPi8CS4k,Undirected
AumaWl0TNBo,ao7JzzfIqVE,Undirected
AumaWl0TNBo,alRtHXnZMOI,Undirected
AumaWl0TNBo,ebzooSdAbGE,Undirected
AumaWl0TNBo,T0_M3t3UVao,Undirected
AumaWl0TNBo,INRXOIgmNUU,Undirected
AumaWl0TNBo,nRJuIrO9GaU,Undirected
AumaWl0TNBo,0RxhuBwCwMs,Undirected
AumaWl0TNBo,tXoJTxPLrKM,Undirected
AumaWl0TNBo,uthHP6FoBmk,Undirected
AumaWl0TNBo,d6awT91VKUw,Undirected
AumaWl0TNBo,Pl9oc13p534,Undirected
AumaWl0TNBo,X3o3Vol7a1o,Undirected
AumaWl0TNBo,-3VBPAZPTQI,Undirected
AumaWl0TNBo,rMFxV-l3qG0,Undirected
AumaWl0TNBo,GpEuHHMy-Z8,Undirected
AumaWl0TNBo,oj8JK6c5x3M,Undirected
AumaWl0TNBo,6F5x2ArbQKU,Undirected
AumaWl0TNBo,86atbRCxDgw,Undirected
AumaWl0TNBo,6781x0TTSks,Undirected
AumaWl0TNBo,qkBXzkD6tis,Undirected
AumaWl0TNBo,rYzLh2QuraQ,Undirected
AumaWl0TNBo,S10azlzvS_8,Undirected
AumaWl0TNBo,YfWSMMPnTiI,Undirected
AumaWl0TNBo,WipbEpll-rQ,Undirected
AumaWl0TNBo,Y_1CaQl0FJs,Undirected
AumaWl0TNBo,L6vhib5e4so,Undirected
AumaWl0TNBo,PC1iHFQ0zEk,Undirected
AumaWl0TNBo,QwZT7T-TXT0,Undirected
AumaWl0TNBo,VGPKryH8D2o,Undirected
AumaWl0TNBo,iB_XgqdeU1o,Undirected
AumaWl0TNBo,5O4h2x9NuTk,Undirected
AumaWl0TNBo,5pJLKoB_yCs,Undirected
AumaWl0TNBo,AiyZ92_JZxA,Undirected
AumaWl0TNBo,4FBqT80fVKY,Undirected
AumaWl0TNBo,UmHVoBKLw68,Undirected
AumaWl0TNBo,3rVFuscWyC8,Undirected
AumaWl0TNBo,xvaCIbcM2-I,Undirected
AumaWl0TNBo,2pJlpCfueV0,Undirected
AumaWl0TNBo,HaI5lLd3RvE,Undirected
AumaWl0TNBo,BPyNxoVJsr4,Undirected
AumaWl0TNBo,He-HBXbHT_U,Undirected
AumaWl0TNBo,ys2x8oOK7wE,Undirected
AumaWl0TNBo,qIXvh9rXWJs,Undirected
AumaWl0TNBo,o8lSb-UOA3M,Undirected
AumaWl0TNBo,r_MU7WAR_6I,Undirected
AumaWl0TNBo,tOr88uFiOjQ,Undirected
AumaWl0TNBo,NuhhbcLyWWo,Undirected
AumaWl0TNBo,c47kn_Y4y8A,Undirected
AumaWl0TNBo,JIr6Bv_JTSw,Undirected
AumaWl0TNBo,vVoxIgwdppE,Undirected
AumaWl0TNBo,QVoleJYgdM8,Undirected
AumaWl0TNBo,FDTKws5WxKw,Undirected
AumaWl0TNBo,ZJkc_C5-Cd8,Undirected
AumaWl0TNBo,O1RNq6rMbds,Undirected
AumaWl0TNBo,EofDwwembIw,Undirected
AumaWl0TNBo,fRQfrB6klX0,Undirected
AumaWl0TNBo,1hX1KSKqVmo,Undirected
AumaWl0TNBo,wQZ95eZQtBE,Undirected
AumaWl0TNBo,yLdav-8af6g,Undirected
AumaWl0TNBo,zw6hMTAtdwg,Undirected
AumaWl0TNBo,kDVMAIGZvvw,Undirected
AumaWl0TNBo,Y0MjGxKe888,Undirected
